iata_code,location
KGR,"Kulgera Airport, Kulgera, Australia"
MWY,"Miranda Downs Airport, Miranda Downs, Australia"
MYO,"Camballin Airport, Myroodah, Australia"
OKB,"Orchid Beach Airport, Orchid Beach, Australia"
PEP,"Peppimenarti Airport, Peppimenarti, Australia"
RDA,"Rockhampton Downs Airport, Rockhampton Downs, Australia"
SSK,"Sturt Creek Airport, Sturt Creek, Australia"
SWB,"Shaw River Airport, Shaw River, Australia"
TPR,"Tom Price Airport, Tom Price, Australia"
TWP,"Torwood Airport, Torwood, Australia"
ZVG,"Springvale Airport, Springvale, Australia"
AUI,"Aua Island Airport, Aua Island, Papua New Guinea"
AUJ,"Ambunti Airport, Ambunti, Papua New Guinea"
AUP,"Agaun Airport, Papua New Guinea"
AUV,"Aumo Airport, Aumo, Papua New Guinea"
AWE,"Alowe Airport, Wonga Wongué Presidential Reserve, Gabon"
AXF,"Alxa Left Banner Bayanhot Airport, Bayanhot, China"
KPM,"Kompiam Airport, Papua New Guinea"
BUA,"Buka Airport, Buka Island, Papua New Guinea"
BRP,"Biaru Airport, Biaru, Papua New Guinea"
CMU,"Chimbu Airport, Kundiawa, Papua New Guinea"
MDM,"Munduku Airport, Munduku, Papua New Guinea"
KPF,"Kondobol Airport, Kondobol, Papua New Guinea"
DNU,"Dinangat Airport, Dinangat, Papua New Guinea"
DOI,"Doini Airport, Castori Islets, Papua New Guinea"
DAU,"Daru Airport, Daru, Papua New Guinea"
EMS,"Embessa Airport, Embessa, Papua New Guinea"
XYR,"Edwaki Airport, Yellow River Mission, Papua New Guinea"
EPT,"Eliptamin Airport, Eliptamin, Papua New Guinea"
EGA,"Engati Airstrip, Engati, Papua New Guinea"
EMO,"Emo River Airstrip, Emo Mission, Papua New Guinea"
ERU,"Erume Airport, Erume, Papua New Guinea"
MFZ,"Meselia Airport, Demgulu, Papua New Guinea"
FRQ,"Feramin Airport, Feramin, Papua New Guinea"
FAQ,"Frieda River Airport, Frieda River, Papua New Guinea"
FUM,"Fuma Airport, Fuma, Papua New Guinea"
GKA,"Goroka Airport, Goronka, Papua New Guinea"
GUG,"Guari Airport, Guari, Papua New Guinea"
GRL,"Garasa Airport, Au, Papua New Guinea"
GUR,"Gurney Airport, Gurney, Papua New Guinea"
GAP,"Gusap Airport, Gusap, Papua New Guinea"
PNP,"Girua Airport, Popondetta, Papua New Guinea"
GBC,"Gasuke Airport, Gasuke, Papua New Guinea"
HBD,"Habi Airport, Habi, Papua New Guinea"
HNI,"Heiweni Airport, Heiweni, Papua New Guinea"
HNN,"Honinabi Airport, Honinabi, Papua New Guinea"
HKN,"Kimbe Airport, Hoskins, Papua New Guinea"
HIT,"Haivaro Airport, Haivaro, Papua New Guinea"
IMN,"Imane Airport, Imane, Papua New Guinea"
KGM,"Kungim Airport, Kungim, Papua New Guinea"
IMD,"Imonda Airport, Imonda, Papua New Guinea"
IAL,"Ialibu Airport, Ialibu, Papua New Guinea"
WIU,"Witu Airport, Garove Island, Papua New Guinea"
KGH,"Yongai Airport, Yongai, Papua New Guinea"
LSA,"Losuia Airport, Losuia, Papua New Guinea"
KPA,"Kopiago Airport, Kopiago, Papua New Guinea"
UNG,"Kiunga Airport, Kiunga, Papua New Guinea"
KNE,"Kanainj Airport, Kanainj, Papua New Guinea"
KRI,"Kikori Airport, Kikori, Papua New Guinea"
KMA,"Kerema Airport, Kerema, Papua New Guinea"
KRX,"Kar Kar Airport, Kar Kar Island, Papua New Guinea"
KIE,"Aropa Airport, Kieta, Papua New Guinea"
KUQ,"Kuri Airport, Kuri, Papua New Guinea"
KVG,"Kavieng Airport, Kavieng, Papua New Guinea"
LNV,"Londolovit Airport, Londolovit, Papua New Guinea"
LAB,"Lab Lab Airport, Lab Lab Mission, Papua New Guinea"
LWI,"Lowai Airport, Lowai, Papua New Guinea"
LPN,"Leron Plains Airport, Leron Plains, Papua New Guinea"
LNG,"Lese Airport, Lese, Papua New Guinea"
LSJ,"Long Island Airport, Long Island, Papua New Guinea"
AYM,"Yas Island Seaplane Base, Abu Dhabi, United Arab Emirates"
MRM,"Manari Airport, Manari, Papua New Guinea"
OBM,"Morobe Airport, Morobe, Papua New Guinea"
MAG,"Madang Airport, Madang, Papua New Guinea"
HGU,"Mount Hagen Kagamuga Airport, Mount Hagen, Papua New Guinea"
GUV,"Mougulu Airport, Mougulu, Papua New Guinea"
MDU,"Mendi Airport, Mendi, Papua New Guinea"
MAS,"Momote Airport, Manus Island, Papua New Guinea"
MXH,"Moro Airport, Moro, Papua New Guinea"
MIS,"Misima Island Airport, Misima Island, Papua New Guinea"
MWG,"Marawaka Airport, Marawaka, Papua New Guinea"
NKN,"Nankina Airport, Gwarawon, Papua New Guinea"
GBF,"Negarbo(Negabo) Airport, Negarbo, Papua New Guinea"
MFO,"Manguna Airport, Manguna, Papua New Guinea"
KSB,"Kasonombe Airport, Kasonombe, Papua New Guinea"
NMN,"Nomane Airport, Namane, Papua New Guinea"
NBA,"Nambaiyufa Airport, Nambaiyufa, Papua New Guinea"
LAE,"Nadzab Airport, Lae, Papua New Guinea"
KGB,"Konge Airport, Konge, Papua New Guinea"
OKP,"Oksapmin Airport, Oksapmin, Papua New Guinea"
HOC,"Komako Airport, Komako, Papua New Guinea"
KCJ,"Komaio Airport, Komaio, Papua New Guinea"
KDE,"Koroba Airport, Koroba, Papua New Guinea"
OPB,"Open Bay Airport, Maitanakunai, Papua New Guinea"
PGB,"Pangoa Airport, Pangoa, Papua New Guinea"
PGN,"Pangia Airport, Pangia, Papua New Guinea"
MPF,"Mapoda Airport, Mapoda, Papua New Guinea"
PMN,"Pumani Airport, Pumani, Papua New Guinea"
POM,"Port Moresby Jacksons International Airport, Port Moresby, Papua New Guinea"
SPH,"Sopu Airport, Sopu, Papua New Guinea"
SXA,"Sialum Airport, Sialum, Papua New Guinea"
RMN,"Rumginae Airport, Papua New Guinea"
KMR,"Karimui Airport, Karimui, Papua New Guinea"
MWI,"Maramuni Airport, Maramuni, Papua New Guinea"
MRH,"May River Airstrip, May River, Papua New Guinea"
SBE,"Suabi Airport, Papua New Guinea"
NIS,"Simberi Airport, Simberi Island, Papua New Guinea"
SIL,"Sila Airport, Sila Mission, Papua New Guinea"
SBV,"Sabah Airport, Sabah, Papua New Guinea"
SIM,"Simbai Airport, Simbai, Papua New Guinea"
SBC,"Selbang Airport, Selbang, Papua New Guinea"
SPV,"Sepik Plains Airport, Sepik Plains, Papua New Guinea"
SXW,"Sauren Airport, Sauren, Papua New Guinea"
MBV,"Masa Airport, Masa, Papua New Guinea"
TIZ,"Tari Airport, Tari, Papua New Guinea"
TBG,"Tabubil Airport, Tabubil, Papua New Guinea"
TPI,"Tapini Airport, Tapini, Papua New Guinea"
RAB,"Tokua Airport, Tokua, Papua New Guinea"
TKW,"Tekin Airport, Tekin, Papua New Guinea"
TEP,"Tep Tep Airport, Teptep, Papua New Guinea"
TSW,"Tsewi Airport, Tsewi, Papua New Guinea"
TRJ,"Tarakbits Airport, Tarakbits, Papua New Guinea"
TWY,"Tawa Airport, Tawa, Papua New Guinea"
TKB,"Tekadu Airport, Tekadu, Papua New Guinea"
AYU,"Aiyura Airport, Aiyura Valley, Papua New Guinea"
UMC,"Umba Airport, Umba, Papua New Guinea"
URU,"Uroubi Airport, Uroubi, Papua New Guinea"
UPR,"Upiara Airport, Upiara, Papua New Guinea"
UVO,"Uvol Airport, Uvol, Papua New Guinea"
TLW,"Talasea Airport, Talasea, Papua New Guinea"
TCJ,"Torembi Airport, Torembi, Papua New Guinea"
VAI,"Vanimo Airport, Vanimo, Papua New Guinea"
TON,"Tonu Airport, Tonu, Papua New Guinea"
WAO,"Wabo Airport, Wabo, Papua New Guinea"
WBM,"Wapenamanda Airport, Papua New Guinea"
WAJ,"Wawoi Falls Airport, Wavoi Falls, Papua New Guinea"
WWK,"Wewak International Airport, Wewak, Papua New Guinea"
WOA,"Wonenara Airport, Wonenara, Papua New Guinea"
WKN,"Wakunai Airport, Wakunai, Papua New Guinea"
WSU,"Wasu Airport, Wasu, Papua New Guinea"
WTP,"Woitape Airport, Fatima Mission, Papua New Guinea"
WUG,"Wau Airport, Wau, Papua New Guinea"
YVD,"Yeva Airport, Yeva, Papua New Guinea"
SMJ,"Sim Airport, Sim, Papua New Guinea"
WEP,"Weam Airport, Weam, Papua New Guinea"
AYY,"Arugam Bay SPB, Pottuvil, Sri Lanka"
KYX,"Yalumet Airport, Yalumet, Papua New Guinea"
KSX,"Yasuru Airport, Yasuru, Papua New Guinea"
WUM,"Wasum Airport, Wasum, Papua New Guinea"
ZXT,"Zabrat Airport, Baku, Azerbaijan"
HAE,"Lava Falls Heliport, Supai Village, United States"
AZB,"Amazon Bay Airport, Papua New Guinea"
BAJ,"Bali Airport, Unea Island, Papua New Guinea"
BKG,"Branson Airport, Branson, United States"
BCP,"Bambu Airport, Bambu, Papua New Guinea"
BCW,"Benguera Island Airport, Benguera Island, Mozambique"
BCZ,"Milyakburra Airport, Bickerton Island, Australia"
ILL,"Willmar Municipal -John L Rice Field, Willmar, United States"
BDZ,"Baindoung Airport, Papua New Guinea"
HKV,"Malevo Airport, Haskovo, Bulgaria"
JAM,"Bezmer Air Base, Yambol, Bulgaria"
JEG,"Aasiaat Airport, Aasiaat, Greenland"
LLU,"Alluitsup Paa Heliport, Alluitsup Paa, Greenland"
QGQ,"Attu Heliport, Attu, Greenland"
UAK,"Narsarsuaq Airport, Narsarsuaq, Greenland"
JCH,"Qasigiannguit Heliport, Qasigiannguit, Greenland"
CNP,"Neerlerit Inaat Airport, Neerlerit Inaat, Greenland"
QFG,"Eqalugaarsuit Heliport, Eqalugaarsuit, Greenland"
GOH,"Godthaab / Nuuk Airport, Nuuk, Greenland"
JGO,"Qeqertarsuaq Heliport, Qeqertarsuaq Airport, Greenland"
QFI,"Iginniarfik, Iginniarfik, Greenland"
QRY,"Ikerassaarsuk Heliport, Ikerassaarsuk, Greenland"
XIQ,"Ilimanaq Heliport, Ilimanaq, Greenland"
QJI,"Ikamiut Heliport, Ikamiut, Greenland"
JJU,"Qaqortoq Heliport, Qaqortoq, Greenland"
JAV,"Ilulissat Airport, Ilulissat, Greenland"
QPW,"Kangaatsiaq Heliport, Kangaatsiaq, Greenland"
KUS,"Kulusuk Airport, Kulusuk, Greenland"
QJE,"Kitsissuarsuit Heliport, Kitsissuarsuit, Greenland"
JSU,"Maniitsoq Airport, Maniitsoq, Greenland"
JNN,"Nanortalik Heliport, Nanortalik, Greenland"
JNS,"Narsaq Heliport, Narsaq, Greenland"
BGP,"Bongo Airport, Bongo, Gabon"
JFR,"Paamiut Airport, Paamiut, Greenland"
QQT,"Qeqertaq Heliport, Qeqertaq, Greenland"
NAQ,"Qaanaaq Airport, Qaanaaq, Greenland"
OBY,"Ittoqqortoormiit Heliport, Ittoqqortoormiit, Greenland"
SFJ,"Kangerlussuaq Airport, Kangerlussuaq, Greenland"
QOQ,"Saarloq Heliport, Greenland"
JHS,"Sisimiut Airport, Sisimiut, Greenland"
THU,"Thule Air Base, Thule, Greenland"
JUV,"Upernavik Airport, Upernavik, Greenland"
UMD,"Uummannaq Heliport, Uummannaq, Greenland"
JQA,"Qaarsut Airport, Uummannaq, Greenland"
BHL,"Bahía de los Ángeles Airport, Bahía de los Ángeles, Mexico"
BHT,"Brighton Downs Airport, Australia"
AEY,"Akureyri Airport, Akureyri, Iceland"
BIU,"Bildudalur Airport, Bildudalur, Iceland"
BGJ,"Borgarfjörður eystri Airport, Borgarfjörður eystri, Iceland"
BJD,"Bakkafjörður Airport, Bakkafjörður, Iceland"
BLO,"Hjaltabakki Airport, Blönduós, Iceland"
BQD,"Búðardalur Airport, Búðardalur, Iceland"
BXV,"Breiðdalsvík Airport, Breiðdalsvík, Iceland"
DJU,"Djúpivogur Airport, Djúpivogur, Iceland"
EGS,"Egilsstaðir Airport, Egilsstaðir, Iceland"
FAS,"Fáskrúðsfjörður Airport, Fáskrúðsfjörður, Iceland"
FAG,"Fagurhólsmýri Airport, Fagurhólsmýri, Iceland"
GUU,"Grundarfjörður Airport, Grundarfjörður, Iceland"
GJR,"Gjögur Airport, Gjögur, Iceland"
GRY,"Grímsey Airport, Grímsey, Iceland"
HVK,"Hólmavík Airport, Hólmavík, Iceland"
HFN,"Hornafjörður Airport, Höfn, Iceland"
FLI,"Holt Airport, Flateyri, Iceland"
HZK,"Húsavík Airport, Húsavík, Iceland"
HVM,"Krókstaðarmelar Airport, Hvammstangi, Iceland"
HLO,"Ingjaldssanður Airport, Onundarfjörður, Iceland"
IFJ,"Ísafjörður Airport, Ísafjörður, Iceland"
KEF,"Keflavik International Airport, Reykjavík, Iceland"
OPA,"Kópasker Airport, Kópasker, Iceland"
SAK,"Sauðárkrókur Airport, Sauðárkrókur, Iceland"
NOR,"Norðfjörður Airport, Norðfjörður, Iceland"
OFJ,"Ólafsfjörður Airport, Ólafsfjörður, Iceland"
PFJ,"Patreksfjörður Airport, Patreksfjörður, Iceland"
RHA,"Reykhólar Airport, Reykhólar, Iceland"
OLI,"Rif Airport, Rif, Iceland"
RFN,"Raufarhöfn Airport, Raufarhöfn, Iceland"
RKV,"Reykjavik Airport, Reykjavik, Iceland"
MVA,"Reykjahlíð Airport, Myvatn, Iceland"
SIJ,"Siglufjörður Airport, Siglufjörður, Iceland"
SYK,"Stykkishólmur Airport, Stykkishólmur, Iceland"
TEY,"Þingeyri Airport, Þingeyri, Iceland"
THO,"Thorshofn Airport, Thorshofn, Iceland"
VEY,"Vestmannaeyjar Airport, Vestmannaeyjar, Iceland"
VPN,"Vopnafjörður Airport, Vopnafjörður, Iceland"
BJE,"Baleela Airport, Baleela Base Camp, Sudan"
BJQ,"Bahja Airport, Bahja, Oman"
BJT,"Bentota River Waterdrome, Bentota, Sri Lanka"
PRN,"Priština International Airport, Prishtina"
BMH,"Bomai Airport, Bomai, Papua New Guinea"
BMQ,"Bamburi Airport, Kenya"
BMZ,"Bamu Airport, Bamu, Papua New Guinea"
BNF,"Baranof Warm Springs Float and Seaplane Base, Baranof, United States"
BNM,"Bodinumu Airport, Bodinumu, Papua New Guinea"
BNT,"Bundi Airport, Bundi, Papua New Guinea"
RBQ,"Rurenabaque Airport, Rurenabaque, Bolivia"
BVL,"Baures Airport, Baures, Bolivia"
BOF,"Bolling Air Force Base, Washington, United States"
BOK,"Brookings Airport, Brookings, United States"
BOT,"Bosset Airport, Bosset, Papua New Guinea"
BOV,"Boang Airport, Boang Island, Papua New Guinea"
BPF,"Batuna Aerodrome, Batuna Mission Station, Solomon Islands"
BQV,"Bartlett Cove Seaplane Base, Gustavus, United States"
ALT,"Alenquer Airport, Alenquer, Brazil"
NSB,"Bimini North Seaplane Base, Bimini, Bahamas"
BSP,"Bensbach Airport, Bensbach, Papua New Guinea"
BSV,"Besakoa Airport, Besakoa, Madagascar"
BUL,"Bulolo Airport, Bulolo, Papua New Guinea"
BVR,"Esperadinha Airport, Brava Island, Cape Verde"
HUK,"Hukuntsi Airport, Hukuntsi, Botswana"
BWJ,"Bawan Airport, Papua New Guinea"
BWP,"Bewani Airport, Bewani, Papua New Guinea"
BXL,"Blue Lagoon Seaplane Base, Nanuya Lailai Island, Fiji"
BXZ,"Bunsil Airport, Bunsil - Umboi Island, Papua New Guinea"
BYA,"Boundary Airport, Boundary, United States"
BYL,"Bella Yella Airport, Beliyela, Liberia"
BYV,"Beira Lake Seaplane Base, Colombo, Sri Lanka"
BCV,"Hector Silva Airstrip, Belmopan, Belize"
BGK,"Big Creek Airport, Big Creek, Belize"
CUK,"Caye Caulker Airport, Caye Caulker, Belize"
CYC,"Caye Chapel Airport, Caye Chapel, Belize"
CZH,"Corozal Municipal Airport, Corozal, Belize"
DGA,"Dangriga Airport, Dangriga, Belize"
INB,"Independence Airport, Independence, Belize"
MDB,"Melinda Airport, Melinda, Belize"
ORZ,"Orange Walk Airport, Orange Walk, Belize"
PLJ,"Placencia Airport, Placencia, Belize"
PND,"Punta Gorda Airport, Punta Gorda, Belize"
SJX,"Sartaneja Airport, Sartaneja, Belize"
SPR,"San Pedro Airport, San Pedro, Belize"
SQS,"Matthew Spain Airport, San Ignacio, Belize"
STU,"Santa Cruz Airport, Santa Cruz, Belize"
SVK,"Silver Creek Airport, Silver Creek, Belize"
TZA,"Belize City Municipal Airport, Belize City, Belize"
BZB,"Bazaruto Island Airport, Bazaruto Island, Mozambique"
BZM,"Bemolanga Airport, Bemolanga, Madagascar"
YRR,"Stuart Island Airstrip, Big Bay, Canada"
YMV,"Mary River Aerodrome, Canada"
YBW,"Bedwell Harbour Seaplane Base, Bedwell Harbour, Canada"
YTP,"Tofino Harbour Seaplane Base, Tofino Harbour, Canada"
ZNA,"Nanaimo Harbour Water Airport, Nanaimo, Canada"
YZZ,"Trail Airport, Trail, Canada"
YMB,"Merritt Airport, Merritt, Canada"
YHH,"Campbell River Seaplane Base, Campbell River, Canada"
YWS,"Whistler/Green Lake Water Aerodrome, Whistler, Canada"
YBF,"Bamfield Seaplane Base, Bamfield, Canada"
YIG,"Big Bay Seaplane Base, Stuart Island, Canada"
CJH,"Chilko Lake (Tsylos Park Lodge) Airport, Chilko Lake, Canada"
YPT,"Pender Harbour Seaplane Base, Canada"
ZOF,"Ocean Falls Seaplane Base, Ocean Falls, Canada"
YCA,"Courtenay Airpark, Courtenay, Canada"
CFQ,"Creston Valley Regional Airport - Art Sutcliffe Field, Creston, Canada"
YAA,"Anahim Lake Airport, Anahim Lake, Canada"
DGF,"Douglas Lake Airport, Douglas Lake, Canada"
JHL,"Fort MacKay/Albian Aerodrome, Albian Village, Canada"
ZTS,"Tahsis Seaplane Base, Tahsis, Canada"
DUQ,"Duncan Airport, Duncan, Canada"
